Species,longitude,latitude
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.830537,16.55467
Ceropegia oculata Hook.,73.512978,18.992087
Ceropegia vincifolia Hook.,73.823716,17.720831
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.824262,16.512929
Ceropegia hirsuta Wight & Arn.,73.821344,18.519086
Ceropegia juncea Roxb.,75.028988,15.965594
Ceropegia bulbosa Roxb. var. lushii (Graham) Hook.f.,70.562,21.568
Ceropegia evansii Mc Cann,73.512978,18.992087
Ceropegia fantastica Sedgwick,74.243253,16.704987
Ceropegia vincifolia Hook.,73.87425,19.203184
Ceropegia mahabalei Hemadri & M.Y.Ansari,73.87425,19.203184
Ceropegia mahabalei Hemadri & M.Y.Ansari,73.789802,19.997453
Ceropegia rollae Hemadri,73.535694,19.071969
Ceropegia media (H. Huber) M.Y.Ansari,73.813554,17.71505
Ceropegia vincifolia Hook.,73.812657,17.715648
"Ceropegia anjanerica Malpure, M.Y.Kamble & S.R.Yadav",73.57,19.92
Ceropegia rollae Hemadri,73.535694,19.071969
Ceropegia mahabalei Hemadri & M.Y.Ansari,73.789802,19.997453
Ceropegia rollae Hemadri,73.535694,19.071969
Ceropegia mahabalei Hemadri & M.Y.Ansari,73.789802,19.997453
Ceropegia jainii Ansari & B.G.Kulk.,74.003571,15.964716
Ceropegia vincifolia Hook.,73.811881,17.721972
Ceropegia juncea Roxb.,77.617633,14.232145
Ceropegia lawii Hook.f.,73.685447,19.276822
Ceropegia lawii Hook.f.,73.530634,19.932154
Ceropegia lawii Hook.f.,73.650112,19.237132
Ceropegia attenuata Hook.,73.638904,15.851414
Ceropegia santapaui Wadhwa & Ansari,73.65,17.43
"Ceropegia anantii S.R.Yadav, Sardesai & S.P.Gaikwad",73.811028,16.381967
Ceropegia media (Huber) M.Y.Ansari,73.823716,17.720831
Ceropegia hirsuta Wight & Arn.,74.018261,17.680464
Ceropegia noorjahaniae M.A.Ansari,74.118261,17.690464
Ceropegia santapaui Wadhwa & Ansari,73.515134,17.531904
"Ceropegia mohanramii S.R.Yadav, M.N.Gavade & Sardesai",73.559413,16.349219
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.391224,18.712366
Ceropegia attenuata Hook.,73.638904,15.851414
"Ceropegia anantii S.R.Yadav, Sardesai & S.P.Gaikwad",73.811028,16.381967
Ceropegia attenuata Hook.,73.638904,15.851414
Ceropegia santapaui Wadhwa & Ansari,73.515134,17.531904
Ceropegia lawii Hook.f.,73.778056,19.386389
Ceropegia rollae Hemadri,73.15,19.25
"Ceropegia anantii S.R.Yadav, Sardesai & S.P.Gaikwad",73.774538,16.367949
Ceropegia lawii Hook.f.,73.778,19.386457
Ceropegia odorata Nimmo,73.182162,18.515752
Ceropegia noorjahaniae M.A.Ansari,74.018261,17.680464
Ceropegia lawii Hook.f.,73.579332,19.931714
Ceropegia hirsuta Wight & Arn.,74.052174,17.620973
Ceropegia jainii Ansari & B.G.Kulk.,73.825842,17.723024
Ceropegia jainii Ansari & B.G.Kulk.,73.826615,17.723517
Ceropegia noorjahaniae M.A.Ansari,74.056229,17.615283
Ceropegia bulbosa Roxb. var. bulbosa,74.052191,17.620871
Ceropegia bulbosa Roxb. var. bulbosa,73.748555,19.941211
Ceropegia rollae Hemadri,73.676477,19.298229
Ceropegia lawii Hook.f.,73.619412,19.773387
Ceropegia media (H. Huber) M.Y.Ansari,73.271179,18.988659
Ceropegia media (H. Huber) M.Y.Ansari,76.516667,11.25
Ceropegia evansii McCann,73.823716,17.720831
Ceropegia hirsuta Wight & Arn.,74.063773,17.611793
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.409076,18.755724
Ceropegia maccannii M.Y.Ansari,73.755878,18.366277
